phase,cycle,capacity_Ah,capacity_retention,resistance_Ohm,expansion_um,expansion_SEI_um,expansion_plating_um,expansion_LAMn_um,nLi_mol,Cp_Ah,Cn_Ah,delta_SEI_m,delta_pl_m,eps_n,eps_p
first_life,0.0,4.854043634031533,1.0,0.008842657274057331,2.72305,2.72305,0.0,0.0,0.18861700876255796,5.66497384648439,5.539738115601909,5e-09,0.0,0.5657277306154936,0.43496330660436655
first_life,1.0,4.850557763793771,0.9992818626076364,0.008869341832244118,2.9766313753873956,2.846855548610408,0.0013813503410872523,0.1283944764359005,0.1884693728352338,5.663579948196413,5.536700133938203,5.227328819908573e-09,3.54299960135342e-10,0.5654174866226559,0.4348562814662391
first_life,2.0,4.847053496336199,0.9985599351340135,0.008896099543234897,3.2328893796192544,2.970530017549529,0.005546494099725482,0.2568128679699998,0.1883216119838106,5.662186243552543,5.533661586411917,5.454416954425238e-09,7.099511409988162e-10,0.5651071848429432,0.43474927119633217
first_life,3.0,4.843531366821538,0.9978343278300398,0.008922929582320193,3.4918506257486106,3.0940690102942265,0.012526762693818753,0.38525485276056554,0.18817373000954093,5.660792736760954,5.530622480638247,5.681256330758205e-09,1.0669365892397895e-09,0.5647968260540328,0.4346422761177545
first_life,4.0,4.8399918412421155,0.9971051366965676,0.008949831946361826,3.753544690058345,3.2174710795192354,0.022353581203261745,0.5137200293358478,0.1880257278289914,5.659399432429575,5.527582826116541,5.907844291363059e-09,1.4252555436214733e-09,0.5644864112260147,0.4345352965843082
first_life,5.0,4.836434917281473,0.9963723612563747,0.008976812007277886,4.018020786355247,3.340749820347666,0.035062922913469546,0.6422080430941108,0.18787758633438004,5.658006334973151,5.524542631237141,6.134205799283278e-09,1.7850206404482714e-09,0.5641759412157253,0.43442833293496236
first_life,6.0,4.832861143079545,0.995636114433855,0.009003868745929112,4.285309731020397,3.4639032927727387,0.0506878521391142,0.770718586108544,0.18772931084896935,5.656613448298655,5.521501903286,6.360337292324303e-09,2.146204633710885e-09,0.5638654167672188,0.4343213854696992
first_life,7.0,4.829270984502549,0.9948964922038805,0.009031001878545481,4.555442560747076,3.586929366715108,0.0692618067659445,0.899251387266023,0.1875809033693602,5.655220775908311,5.51846064867801,6.5862348592848234e-09,2.508800294747408e-09,0.5635548385355951,0.4342144544574233
first_life,8.0,4.8256649336090875,0.9941535959373164,0.00905821070929065,4.828447586488698,3.7098239218719162,0.09081769625736708,1.027805968359415,0.18743236730221932,5.653828323544851,5.515418878728179,6.8118909345621934e-09,2.8727935985895783e-09,0.5632442076763625,0.43410754033906856
first_life,9.0,4.822043386659943,0.9934075072693543,0.009085495558072977,5.104357882206189,3.8325862520276024,0.11538954021147643,1.156382089967111,0.1872837023136438,5.652436094359238,5.512376599101534,7.037304221420103e-09,3.2381905813503083e-09,0.5629335247680438,0.43400064335656957
